OrderedDict([('run_time', 387.52179884910583), ('rx_bytes', 4561163073), ('tx_bytes', 4370459134), ('read_bytes', 43949789184), ('write_bytes', 1309548544), ('map_tasks', 164), ('reduce_tasks', 2)])
job_1475292842338_0002 15206654825 66584461 51 0
job_1475292842338_0001 7607695644 33559290 26 0
job_1475292842338_0006 1803108 1756938 1 1
job_1475292842338_0003 20137315315 124611113 75 0
job_1475292842338_0004 224865955 6871996 9 0
job_1475292842338_0005 6896837 1797898 2 1
job_1475292842338_0005 -> job_1475292842338_0006
job_1475292842338_0004 -> job_1475292842338_0005

1475293110336 TASK_FINISHED MAP
1475293111315 TASK_FINISHED MAP
1475293111867 TASK_FINISHED MAP
1475293112040 TASK_FINISHED MAP
1475293112417 TASK_FINISHED MAP
1475293112961 TASK_FINISHED MAP
1475293113716 TASK_FINISHED MAP
1475293114534 TASK_FINISHED MAP
1475293114698 TASK_FINISHED MAP
1475293114740 TASK_FINISHED MAP
1475293115124 TASK_FINISHED MAP
1475293115139 TASK_FINISHED MAP
1475293115442 TASK_FINISHED MAP
1475293116122 TASK_FINISHED MAP
1475293116413 TASK_FINISHED MAP
1475293119566 TASK_FINISHED MAP
1475293131502 TASK_FINISHED MAP
1475293131612 TASK_FINISHED MAP
1475293132849 TASK_FINISHED MAP
1475293132959 TASK_FINISHED MAP
1475293134635 TASK_FINISHED MAP
1475293137222 TASK_FINISHED MAP
1475293138407 TASK_FINISHED MAP
1475293139598 TASK_FINISHED MAP
1475293139663 TASK_FINISHED MAP
1475293140961 TASK_FINISHED MAP
1475293141048 TASK_FINISHED MAP
1475293141866 TASK_FINISHED MAP
1475293142184 TASK_FINISHED MAP
1475293142784 TASK_FINISHED MAP
1475293144511 TASK_FINISHED MAP
1475293147811 TASK_FINISHED MAP
1475293147826 TASK_FINISHED MAP
1475293147890 TASK_FINISHED MAP
1475293151787 TASK_FINISHED MAP
1475293158480 TASK_FINISHED MAP
1475293159588 TASK_FINISHED MAP
1475293160410 TASK_FINISHED MAP
1475293160997 TASK_FINISHED MAP
1475293161605 TASK_FINISHED MAP
1475293162866 TASK_FINISHED MAP
1475293164831 TASK_FINISHED MAP
1475293178327 TASK_STARTED MAP
1475293178333 TASK_STARTED MAP
1475293178339 TASK_STARTED MAP
1475293178340 TASK_STARTED MAP
1475293178340 TASK_STARTED MAP
1475293178340 TASK_STARTED MAP
1475293178341 TASK_STARTED MAP
1475293178341 TASK_STARTED MAP
1475293178341 TASK_STARTED MAP
1475293187877 TASK_FINISHED MAP
1475293188460 TASK_FINISHED MAP
1475293188541 TASK_FINISHED MAP
1475293188581 TASK_FINISHED MAP
1475293188953 TASK_FINISHED MAP
1475293189469 TASK_FINISHED MAP
1475293189833 TASK_FINISHED MAP
1475293191377 TASK_FINISHED MAP
1475293192136 TASK_FINISHED MAP
1475293203237 TASK_STARTED MAP
1475293203243 TASK_STARTED MAP
1475293203244 TASK_STARTED REDUCE
1475293210590 TASK_FINISHED MAP
1475293210869 TASK_FINISHED MAP
1475293217101 TASK_FINISHED REDUCE
1475293225518 TASK_STARTED MAP
1475293225525 TASK_STARTED REDUCE
1475293231779 TASK_FINISHED MAP
1475293238441 TASK_FINISHED REDUCE

--------------------------------------------------
